Connecticut,708,662,1370,0.538,0.542,0.54
Virginia,1742,1578,3319,0.571,0.579,0.575
Iowa,675,660,1335,0.595,0.597,0.596
Arkansas,488,431,919,0.434,0.417,0.426
West Virginia,316,294,610,0.445,0.437,0.441
Hawaii,234,193,427,0.461,0.417,0.44
Idaho,301,286,587,0.487,0.47,0.479
Nevada,509,497,1006,0.497,0.477,0.487
Tennessee,1313,1174,2487,0.499,0.492,0.496
South Carolina,1007,828,1836,0.503,0.469,0.487
New Mexico,387,327,715,0.503,0.458,0.481
Texas,4822,4064,8886,0.504,0.461,0.484
Indiana,1249,1115,2364,0.507,0.478,0.493
New York,3694,3081,6775,0.515,0.473,0.495
Oklahoma,724,626,1350,0.516,0.471,0.494
Alabama,1010,821,1830,0.524,0.488,0.507
North Carolina,2077,1822,3899,0.526,0.521,0.524
Rhode Island,217,186,403,0.531,0.499,0.516
Nebraska,362,314,676,0.533,0.481,0.508
Delaware,202,167,369,0.534,0.499,0.518
South Dakota,170,160,331,0.535,0.503,0.519
Wyoming,113,107,220,0.536,0.506,0.521
Alaska,130,133,263,0.536,0.521,0.528
California,7035,6205,13240,0.538,0.498,0.519
Florida,4270,3648,7918,0.54,0.511,0.526
Maryland,1213,1107,2320,0.543,0.541,0.542
United States,65317,56964,122281,0.55,0.518,0.534
Pennsylvania,2728,2445,5173,0.552,0.539,0.546
Illinois,2557,2183,4740,0.552,0.506,0.53
New Jersey,1808,1577,3384,0.553,0.526,0.54
Vermont,141,132,273,0.555,0.543,0.549
Ohio,2503,2035,4538,0.559,0.489,0.525
Mississippi,650,531,1180,0.559,0.522,0.542
Massachusetts,1451,1280,2731,0.562,0.548,0.555
Kentucky,958,789,1746,0.565,0.508,0.538
Missouri,1346,1162,2509,0.57,0.528,0.55
New Hampshire,296,280,576,0.571,0.553,0.562
Kansas,598,554,1152,0.572,0.565,0.569
Georgia,2270,1814,4084,0.583,0.531,0.559
Colorado,1198,1144,2342,0.592,0.571,0.581
Utah,646,568,1214,0.605,0.546,0.576
Arizona,1512,1288,2800,0.606,0.57,0.589
Michigan,2346,2072,4418,0.607,0.581,0.595
District of Columbia,172,141,313,0.623,0.598,0.611
Oregon,1006,912,1918,0.63,0.592,0.611
Washington,1693,1541,3234,0.642,0.595,0.619
Minnesota,1329,1194,2523,0.652,0.607,0.63
North Dakota,175,160,335,0.657,0.582,0.619
Montana,271,247,518,0.66,0.616,0.638
Wisconsin,1448,1328,2776,0.661,0.631,0.646
Maine,364,329,693,0.677,0.634,0.656